date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Rice,KG,actual,Retail,INR,6.9,0.2195
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Wheat,KG,actual,Retail,INR,6.0,0.1908
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4294
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,oil and fats,Oil (mustard),KG,actual,Retail,INR,39.0,1.2405
1994-02-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,cereals and tubers,Rice,KG,actual,Retail,INR,8.75,0.2783
1994-02-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,miscellaneous food,Sugar,KG,actual,Retail,INR,13.75,0.4373
1994-02-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,oil and fats,Oil (mustard),KG,actual,Retail,INR,39.0,1.2405
1994-02-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,cereals and tubers,Wheat,KG,actual,Retail,INR,4.6,0.1463
1994-02-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,miscellaneous food,Sugar,KG,actual,Retail,INR,13.25,0.4214
1994-02-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.986
1994-02-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.2545
1994-02-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Wheat,KG,actual,Retail,INR,8.0,0.2545
1994-02-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,miscellaneous food,Sugar,KG,actual,Retail,INR,13.8,0.4389
1994-02-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,oil and fats,Oil (mustard),KG,actual,Retail,INR,36.0,1.145
1994-02-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.2545
1994-02-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,miscellaneous food,Sugar,KG,actual,Retail,INR,14.5,0.4612
1994-02-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.986
1994-02-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,cereals and tubers,Wheat,KG,actual,Retail,INR,5.0,0.159
1994-02-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,miscellaneous food,Sugar,KG,actual,Retail,INR,13.8,0.4389
1994-02-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,oil and fats,Oil (mustard),KG,actual,Retail,INR,33.5,1.0655
1994-02-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,cereals and tubers,Rice,KG,actual,Retail,INR,9.0,0.2863
1994-02-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,cereals and tubers,Wheat,KG,actual,Retail,INR,5.25,0.167
1994-02-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.4,0.4262
1994-02-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,oil and fats,Oil (mustard),KG,actual,Retail,INR,30.0,0.9542
1994-02-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,cereals and tubers,Rice,KG,actual,Retail,INR,7.0,0.2226
1994-02-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,cereals and tubers,Wheat,KG,actual,Retail,INR,8.0,0.2545
1994-02-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,miscellaneous food,Sugar,KG,actual,Retail,INR,13.4,0.4262
1994-02-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,oil and fats,Oil (mustard),KG,actual,Retail,INR,37.0,1.1768
1994-02-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Rice,KG,actual,Retail,INR,7.0,0.2226
1994-02-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Wheat,KG,actual,Retail,INR,7.2,0.229
1994-02-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4294
1994-02-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,oil and fats,Oil (mustard),KG,actual,Retail,INR,38.0,1.2087
1994-03-15,Assam,Kamrup,Guwahati,26.183333,91.733333,cereals and tubers,Rice,KG,actual,Retail,INR,6.5,0.2072
1994-03-15,Assam,Kamrup,Guwahati,26.183333,91.733333,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4303
1994-03-15,Assam,Kamrup,Guwahati,26.183333,91.733333,oil and fats,Oil (mustard),KG,actual,Retail,INR,27.0,0.8607
1994-03-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.255
1994-03-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Wheat,KG,actual,Retail,INR,5.0,0.1594
1994-03-15,Delhi,Delhi,Delhi,28.666667,77.216667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4303
1994-03-15,Delhi,Delhi,Delhi,28.666667,77.216667,oil and fats,Oil (mustard),KG,actual,Retail,INR,30.0,0.9563
1994-03-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Rice,KG,actual,Retail,INR,7.25,0.2311
1994-03-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Wheat,KG,actual,Retail,INR,6.5,0.2072
1994-03-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.6,0.4335
1994-03-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.9882
1994-03-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,cereals and tubers,Rice,KG,actual,Retail,INR,9.0,0.2869
1994-03-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,miscellaneous food,Sugar,KG,actual,Retail,INR,14.5,0.4622
1994-03-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,oil and fats,Oil (mustard),KG,actual,Retail,INR,37.5,1.1954
1994-03-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,cereals and tubers,Wheat,KG,actual,Retail,INR,6.5,0.2072
1994-03-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,miscellaneous food,Sugar,KG,actual,Retail,INR,13.7,0.4367
1994-03-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,8.506944,76.956944,cereals and tubers,Rice,KG,actual,Retail,INR,8.2,0.2614
1994-03-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,8.506944,76.956944,cereals and tubers,Wheat,KG,actual,Retail,INR,10.0,0.3188
1994-03-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,8.506944,76.956944,miscellaneous food,Sugar,KG,actual,Retail,INR,14.2,0.4527
1994-03-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,cereals and tubers,Wheat,KG,actual,Retail,INR,4.0,0.1275
1994-03-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,miscellaneous food,Sugar,KG,actual,Retail,INR,14.0,0.4463
1994-03-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,oil and fats,Oil (mustard),KG,actual,Retail,INR,32.0,1.0201
1994-03-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.255
1994-03-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Wheat,KG,actual,Retail,INR,8.0,0.255
1994-03-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,miscellaneous food,Sugar,KG,actual,Retail,INR,14.0,0.4463
1994-03-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,oil and fats,Oil (mustard),KG,actual,Retail,INR,36.0,1.1476
1994-03-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,cereals and tubers,Rice,KG,actual,Retail,INR,7.0,0.2231
1994-03-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,cereals and tubers,Wheat,KG,actual,Retail,INR,5.0,0.1594
1994-03-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,miscellaneous food,Sugar,KG,actual,Retail,INR,14.0,0.4463
1994-03-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,oil and fats,Oil (mustard),KG,actual,Retail,INR,30.0,0.9563
1994-03-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,cereals and tubers,Rice,KG,actual,Retail,INR,5.2,0.1658
1994-03-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,miscellaneous food,Sugar,KG,actual,Retail,INR,14.2,0.4527
1994-03-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,oil and fats,Oil (mustard),KG,actual,Retail,INR,33.0,1.052
1994-03-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,cereals and tubers,Rice,KG,actual,Retail,INR,9.0,0.2869
1994-03-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,cereals and tubers,Wheat,KG,actual,Retail,INR,4.8,0.153
1994-03-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.6,0.4335
1994-03-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,oil and fats,Oil (mustard),KG,actual,Retail,INR,29.0,0.9245
1994-03-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,cereals and tubers,Rice,KG,actual,Retail,INR,7.0,0.2231
1994-03-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,cereals and tubers,Wheat,KG,actual,Retail,INR,7.5,0.2391
1994-03-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4303
